Email,Nafn,Kort,Simi,Kennitala,Ban,Fine,History
mfrid@bmail.com,Matthildur Fríða,1111222233334444,5812345,0303990309,False,0,6;9
bjorgvinb@ru.is,Björgvin,2222333344445555,5885522,0202422009,False,0,2;3;7;10
sigmundur_david69@nocco.is,Sigmundur Davíð,3333444455556666,1122334,201120180300,False,0,11
einar@tvaerthrjar.is,Einar Áskell,4444555566667777,5635433,1212971209,False,0,15
kjartanb@gmail.com,Kjartan Kristjánsson,5555666677778888,8999232,2304954509,False,0,1
liljag@ru.is,Lilja Ýr,6666777788889999,9456374,3112003250,False,0,13;14
robertelis98@gmail.com,Róbert Elís Villalobos,7777888899990000,8462311,2903983209,False,0,8
top_tester@internet.is,Árni Björn Sigurðsson,8888999900001111,5154444,,False,0,4;12
test2@zuism.is,Jónmundur Karl Águstsson,9999000011112222,5996200,1101054190,False,0,5
glaepamadur@helviti.is,Svarti Pétur,0000111122223333,4104000,2902004260,True,0,
skuldari@kviabryggja.is,Andrés Önd,9999888877776666,4421000,1402697509,False,10000,
bjarkir18@ru.is,Bjarki Rósantsson,1111222211112222,6637170,,False,0,
